  step |   Δx ON  Δx OFF |  CE ON CE OFF |   gnorm ON  gnorm OFF | avg50 ON avg50 OFF
-------------------------------------------------------------------------------------
  1000 |   0.254       - |   8.56      - |   1.46e+01          - |     9.18        -
  1010 |   0.311   0.311 |   8.15   8.52 |   1.54e+01   1.56e+01 |     9.31     9.59
  1020 |   0.239   0.239 |   8.21   8.20 |   1.02e+01   1.29e+01 |     9.17     9.23
  1030 |   0.297   0.209 |   8.28   8.26 |   1.43e+01   8.16e+00 |     9.28     9.03
  1040 |   0.236   0.184 |   8.31   8.31 |   9.03e+00   8.13e+00 |     9.12     8.90
  1050 |   0.306   0.186 |   8.51   8.00 |   1.59e+01   1.06e+01 |     9.23     8.80
  1060 |   0.250   0.166 |   7.75   7.97 |   1.42e+01   9.12e+00 |     9.06     8.54
  1070 |   0.327   0.177 |   8.53   7.92 |   2.60e+01   2.90e+01 |     9.14     8.44
  1080 |   0.263   0.226 |   7.13   6.84 |   1.92e+01   1.26e+01 |     8.99     8.38
  1090 |   0.290   0.163 |   8.44   8.10 |   1.65e+01   8.94e+00 |     9.11     8.35
  1100 |   0.216   0.175 |   8.13   8.09 |   9.81e+00   1.20e+01 |     8.96     8.34
  1110 |   0.298   0.153 |   8.30   7.75 |   1.56e+01   9.31e+00 |     9.06     8.32
  1120 |   0.221   0.209 |   8.32   6.98 |   1.18e+01   7.76e+00 |     8.92     8.27
  1130 |   0.307   0.142 |   8.42   8.08 |   1.79e+01   8.93e+00 |     9.04     8.25
  1140 |   0.235   0.150 |   8.51   7.90 |   1.24e+01   1.11e+01 |     8.92     8.21
  1150 |   0.290   0.144 |   8.30   7.82 |   2.11e+01   1.17e+01 |     9.00     8.17
  1160 |   0.222   0.136 |   8.38   8.00 |   1.42e+01   5.92e+00 |     8.88     8.14
  1170 |   0.287   0.131 |   8.45   7.81 |   1.67e+01   5.42e+00 |     8.99     8.11
  1180 |   0.215   0.149 |   7.89   7.54 |   9.31e+00   1.12e+01 |     8.82     8.08
  1190 |   0.299   0.261 |   8.24   6.38 |   1.52e+01   1.72e+01 |     8.94     8.07
  1200 |   0.242   0.178 |   7.21   8.53 |   7.33e+00   1.77e+01 |     8.83     8.06
  1210 |   0.299   0.157 |   8.11   7.75 |   1.96e+01   1.07e+01 |     8.91     8.05
  1220 |   0.236   0.153 |   8.26   7.57 |   1.17e+01   1.07e+01 |     8.81     8.04
  1230 |   0.257   0.153 |   8.41   7.51 |   9.53e+00   7.58e+00 |     8.94     8.02
  1240 |   0.211   0.147 |   8.40   7.74 |   7.84e+00   6.23e+00 |     8.78     8.00
  1250 |   0.264   0.149 |   8.27   7.86 |   1.22e+01   9.70e+00 |     8.87     7.95
  1260 |   0.195   0.252 |   8.33   6.32 |   9.70e+00   1.08e+01 |     8.76     7.93
  1270 |   0.286   0.164 |   8.24   7.79 |   1.37e+01   8.72e+00 |     8.86     7.94
  1280 |   0.215   0.157 |   8.05   7.78 |   8.88e+00   8.25e+00 |     8.73     7.94
  1290 |   0.319   0.162 |   8.59   7.80 |   2.18e+01   9.29e+00 |     8.87     7.91
  1300 |   0.233   0.159 |   8.33   7.90 |   1.34e+01   9.42e+00 |     8.79     7.91
  1310 |   0.296   0.144 |   8.49   7.48 |   1.89e+01   6.82e+00 |     8.94     7.90
  1320 |   0.210   0.149 |   8.57   8.11 |   9.55e+00   7.76e+00 |     8.81     7.86
  1330 |   0.286   0.142 |   8.38   7.71 |   1.51e+01   1.01e+01 |     8.92     7.82
  1340 |   0.211   0.135 |   8.08   7.67 |   9.20e+00   5.76e+00 |     8.79     7.79
