  arms=['real', 'shuffled', 'same'] seeds=[0, 1, 2] steps=6000 ckpt_every=300 n_measure=16
  [seed 0] rules=13 corpus=1672 B heldout=74
  [real s0] step     0 | CE nan | acc 0.000 | rho_gw -0.002 | bimod 0.429 | effrank 29.4 | 50s
  [real s0] step   300 | CE 1.246 | acc 0.068 | rho_gw +0.020 | bimod 0.401 | effrank 14.2 | 55s
  [real s0] step   600 | CE 0.665 | acc 0.162 | rho_gw +0.008 | bimod 0.352 | effrank 19.6 | 60s
  [real s0] step   900 | CE 0.253 | acc 0.284 | rho_gw -0.010 | bimod 0.301 | effrank 21.7 | 64s
  [real s0] step  1200 | CE 0.100 | acc 0.270 | rho_gw -0.014 | bimod 0.322 | effrank 25.8 | 69s
  [real s0] step  1500 | CE 0.063 | acc 0.284 | rho_gw -0.038 | bimod 0.364 | effrank 22.6 | 74s
  [real s0] step  1800 | CE 0.050 | acc 0.324 | rho_gw -0.027 | bimod 0.328 | effrank 23.6 | 78s
  [real s0] step  2100 | CE 0.048 | acc 0.297 | rho_gw -0.004 | bimod 0.336 | effrank 23.5 | 83s
  [real s0] step  2400 | CE 0.047 | acc 0.311 | rho_gw +0.020 | bimod 0.323 | effrank 21.9 | 87s
  [real s0] step  2700 | CE 0.047 | acc 0.257 | rho_gw -0.032 | bimod 0.368 | effrank 20.4 | 91s
  [real s0] step  3000 | CE 0.044 | acc 0.284 | rho_gw -0.005 | bimod 0.320 | effrank 20.7 | 96s
  [real s0] step  3300 | CE 0.045 | acc 0.324 | rho_gw -0.050 | bimod 0.380 | effrank 15.9 | 100s
  [real s0] step  3600 | CE 0.043 | acc 0.311 | rho_gw +0.044 | bimod 0.328 | effrank 23.1 | 104s
  [real s0] step  3900 | CE 0.040 | acc 0.297 | rho_gw +0.051 | bimod 0.337 | effrank 22.5 | 109s
  [real s0] step  4200 | CE 0.041 | acc 0.284 | rho_gw +0.056 | bimod 0.329 | effrank 23.0 | 113s
  [real s0] step  4500 | CE 0.041 | acc 0.311 | rho_gw +0.049 | bimod 0.333 | effrank 27.3 | 117s
  [real s0] step  4800 | CE 0.043 | acc 0.257 | rho_gw -0.057 | bimod 0.377 | effrank 20.9 | 121s
  [real s0] step  5100 | CE 0.039 | acc 0.270 | rho_gw +0.055 | bimod 0.334 | effrank 31.3 | 126s
  [real s0] step  5400 | CE 0.039 | acc 0.297 | rho_gw +0.061 | bimod 0.332 | effrank 25.6 | 130s
  [real s0] step  5700 | CE 0.051 | acc 0.270 | rho_gw +0.006 | bimod 0.320 | effrank 29.9 | 134s
  [real s0] step  6000 | CE 0.040 | acc 0.324 | rho_gw +0.054 | bimod 0.326 | effrank 25.0 | 138s
  [shuffled s0] step     0 | CE nan | acc 0.000 | rho_gw +0.003 | bimod 0.486 | effrank 21.3 | 0s
  [shuffled s0] step   300 | CE 2.542 | acc 0.000 | rho_gw +0.014 | bimod 0.395 | effrank 15.6 | 4s
  [shuffled s0] step   600 | CE 2.550 | acc 0.000 | rho_gw +0.018 | bimod 0.408 | effrank 13.5 | 7s
  [shuffled s0] step   900 | CE 2.550 | acc 0.000 | rho_gw +0.021 | bimod 0.427 | effrank 12.3 | 11s
  [shuffled s0] step  1200 | CE 2.548 | acc 0.000 | rho_gw +0.022 | bimod 0.428 | effrank 13.1 | 14s
  [shuffled s0] step  1500 | CE 2.544 | acc 0.000 | rho_gw +0.024 | bimod 0.431 | effrank 10.2 | 18s
  [shuffled s0] step  1800 | CE 2.523 | acc 0.000 | rho_gw +0.025 | bimod 0.433 | effrank 11.7 | 21s
  [shuffled s0] step  2100 | CE 2.546 | acc 0.000 | rho_gw +0.027 | bimod 0.424 | effrank 12.7 | 25s
  [shuffled s0] step  2400 | CE 2.535 | acc 0.000 | rho_gw +0.029 | bimod 0.433 | effrank 10.6 | 28s
  [shuffled s0] step  2700 | CE 2.547 | acc 0.000 | rho_gw +0.029 | bimod 0.431 | effrank 10.6 | 32s
  [shuffled s0] step  3000 | CE 2.542 | acc 0.000 | rho_gw +0.031 | bimod 0.430 | effrank 12.7 | 35s
