  arms=['real', 'shuffled', 'same'] seeds=[0, 1, 2] steps=6000 ckpt_every=300 n_measure=16
  [seed 0] rules=13 corpus=1672 B heldout=74
  [real s0] step     0 | CE nan | acc 0.000 | rho_gw -0.002 | bimod 0.429 | effrank 29.4 | 52s
  [real s0] step   300 | CE 1.246 | acc 0.068 | rho_gw +0.020 | bimod 0.401 | effrank 14.2 | 57s
  [real s0] step   600 | CE 0.688 | acc 0.176 | rho_gw +0.005 | bimod 0.319 | effrank 17.2 | 62s
  [real s0] step   900 | CE 0.265 | acc 0.284 | rho_gw -0.019 | bimod 0.333 | effrank 19.5 | 67s
  [real s0] step  1200 | CE 0.105 | acc 0.284 | rho_gw -0.021 | bimod 0.335 | effrank 26.5 | 72s
  [real s0] step  1500 | CE 0.063 | acc 0.297 | rho_gw -0.013 | bimod 0.332 | effrank 24.4 | 76s
  [real s0] step  1800 | CE 0.050 | acc 0.311 | rho_gw +0.001 | bimod 0.329 | effrank 25.1 | 81s
  [real s0] step  2100 | CE 0.049 | acc 0.311 | rho_gw -0.004 | bimod 0.343 | effrank 24.1 | 85s
  [real s0] step  2400 | CE 0.047 | acc 0.311 | rho_gw +0.018 | bimod 0.325 | effrank 23.4 | 90s
  [real s0] step  2700 | CE 0.046 | acc 0.257 | rho_gw -0.042 | bimod 0.376 | effrank 20.2 | 94s
  [real s0] step  3000 | CE 0.044 | acc 0.297 | rho_gw +0.022 | bimod 0.318 | effrank 21.7 | 99s
  [real s0] step  3300 | CE 0.040 | acc 0.324 | rho_gw +0.027 | bimod 0.332 | effrank 23.1 | 103s
  [real s0] step  3600 | CE 0.042 | acc 0.324 | rho_gw +0.035 | bimod 0.325 | effrank 24.4 | 108s
  [real s0] step  3900 | CE 0.040 | acc 0.297 | rho_gw +0.052 | bimod 0.335 | effrank 23.7 | 112s
  [real s0] step  4200 | CE 0.042 | acc 0.324 | rho_gw +0.055 | bimod 0.338 | effrank 22.8 | 116s
  [real s0] step  4500 | CE 0.041 | acc 0.338 | rho_gw +0.060 | bimod 0.339 | effrank 22.9 | 121s
  [real s0] step  4800 | CE 0.037 | acc 0.284 | rho_gw +0.060 | bimod 0.337 | effrank 23.3 | 125s
  [real s0] step  5100 | CE 0.045 | acc 0.257 | rho_gw -0.009 | bimod 0.329 | effrank 33.1 | 130s
  [real s0] step  5400 | CE 0.039 | acc 0.297 | rho_gw +0.062 | bimod 0.341 | effrank 24.7 | 134s
  [real s0] step  5700 | CE 0.044 | acc 0.270 | rho_gw +0.065 | bimod 0.331 | effrank 23.6 | 139s
  [real s0] step  6000 | CE 0.040 | acc 0.311 | rho_gw +0.071 | bimod 0.340 | effrank 26.2 | 143s
  [shuffled s0] step     0 | CE nan | acc 0.000 | rho_gw +0.003 | bimod 0.486 | effrank 21.3 | 0s
  [shuffled s0] step   300 | CE 2.542 | acc 0.000 | rho_gw +0.014 | bimod 0.395 | effrank 15.6 | 4s
  [shuffled s0] step   600 | CE 2.550 | acc 0.000 | rho_gw +0.018 | bimod 0.408 | effrank 13.5 | 8s
  [shuffled s0] step   900 | CE 2.550 | acc 0.000 | rho_gw +0.021 | bimod 0.427 | effrank 12.3 | 11s
  [shuffled s0] step  1200 | CE 2.548 | acc 0.000 | rho_gw +0.022 | bimod 0.428 | effrank 13.1 | 15s
  [shuffled s0] step  1500 | CE 2.544 | acc 0.000 | rho_gw +0.024 | bimod 0.431 | effrank 10.2 | 19s
  [shuffled s0] step  1800 | CE 2.523 | acc 0.000 | rho_gw +0.025 | bimod 0.433 | effrank 11.7 | 22s
  [shuffled s0] step  2100 | CE 2.546 | acc 0.000 | rho_gw +0.027 | bimod 0.424 | effrank 12.7 | 26s
  [shuffled s0] step  2400 | CE 2.535 | acc 0.000 | rho_gw +0.029 | bimod 0.433 | effrank 10.6 | 30s
