{loss: -3.725e-09, grad_norm: 0.4264, learning_rate: 1e-06, num_tokens: 5590, completions/mean_length: 10.94, completions/min_length: 8, completions/max_length: 15, completions/clipped_ratio: 0, completions/mean_terminated_length: 10.94, completions/min_terminated_length: 8, completions/max_terminated_length: 15, rewards/kernel_reward/mean: 0.7188, rewards/kernel_reward/std: 0.4568, reward: 0.7188, reward_std: 0.4568, frac_reward_zero_std: 0.75, entropy: 0.04206, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 23.63, epoch: 0.007937}
{loss: 0, grad_norm: 0, learning_rate: 9.95e-07, num_tokens: 1.11e+04, completions/mean_length: 8.5, completions/min_length: 6, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.5, completions/min_terminated_length: 6, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.5, rewards/kernel_reward/std: 0.508, reward: 0.5, reward_std: 0.508, frac_reward_zero_std: 1, entropy: 0.03925, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.6, epoch: 0.01587}
{loss: 0.006687, grad_norm: 0.5845, learning_rate: 9.9e-07, num_tokens: 1.667e+04, completions/mean_length: 10.16, completions/min_length: 6, completions/max_length: 14, completions/clipped_ratio: 0, completions/mean_terminated_length: 10.16, completions/min_terminated_length: 6, completions/max_terminated_length: 14, rewards/kernel_reward/mean: 0.5938, rewards/kernel_reward/std: 0.499, reward: 0.5938, reward_std: 0.499, frac_reward_zero_std: 0.75, entropy: 0.0834, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.75, epoch: 0.02381}
{loss: -0.007263, grad_norm: 0.1569, learning_rate: 9.85e-07, num_tokens: 2.225e+04, completions/mean_length: 9.125, completions/min_length: 6, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 9.125, completions/min_terminated_length: 6, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.7188, rewards/kernel_reward/std: 0.4568, reward: 0.7188, reward_std: 0.4568, frac_reward_zero_std: 0.75, entropy: 0.06269, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.21, epoch: 0.03175}
{loss: 0.0182, grad_norm: 0.452, learning_rate: 9.8e-07, num_tokens: 2.779e+04, completions/mean_length: 8.344, completions/min_length: 5, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.344, completions/min_terminated_length: 5, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.6875, rewards/kernel_reward/std: 0.4709, reward: 0.6875, reward_std: 0.4709, frac_reward_zero_std: 0.75, entropy: 0.05584, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.24, epoch: 0.03968}
{loss: -0.01027, grad_norm: 0.167, learning_rate: 9.75e-07, num_tokens: 3.328e+04, completions/mean_length: 7.531, completions/min_length: 5, completions/max_length: 23, completions/clipped_ratio: 0, completions/mean_terminated_length: 7.531, completions/min_terminated_length: 5, completions/max_terminated_length: 23, rewards/kernel_reward/mean: 0.4688, rewards/kernel_reward/std: 0.507, reward: 0.4688, reward_std: 0.507, frac_reward_zero_std: 0.75, entropy: 0.181, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 20.09, epoch: 0.04762}
{loss: 0, grad_norm: 0, learning_rate: 9.7e-07, num_tokens: 3.88e+04, completions/mean_length: 8.5, completions/min_length: 6, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.5, completions/min_terminated_length: 6, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 1, rewards/kernel_reward/std: 0, reward: 1, reward_std: 0, frac_reward_zero_std: 1, entropy: 0.02873, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.24, epoch: 0.05556}
{loss: -0.02236, grad_norm: 0.3828, learning_rate: 9.65e-07, num_tokens: 4.442e+04, completions/mean_length: 10.12, completions/min_length: 4, completions/max_length: 46, completions/clipped_ratio: 0, completions/mean_terminated_length: 10.12, completions/min_terminated_length: 4, completions/max_terminated_length: 46, rewards/kernel_reward/mean: 0.4062, rewards/kernel_reward/std: 0.499, reward: 0.4062, reward_std: 0.499, frac_reward_zero_std: 0.75, entropy: 0.4533, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 24.97, epoch: 0.06349}
{loss: -0.007415, grad_norm: 0.2584, learning_rate: 9.6e-07, num_tokens: 4.996e+04, completions/mean_length: 8.938, completions/min_length: 5, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.938, completions/min_terminated_length: 5, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.9688, rewards/kernel_reward/std: 0.1768, reward: 0.9688, reward_std: 0.1768, frac_reward_zero_std: 0.75, entropy: 0.02511, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.3, epoch: 0.07143}
{loss: 0, grad_norm: 0, learning_rate: 9.55e-07, num_tokens: 5.549e+04, completions/mean_length: 8.688, completions/min_length: 6, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.688, completions/min_terminated_length: 6, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.5, rewards/kernel_reward/std: 0.508, reward: 0.5, reward_std: 0.508, frac_reward_zero_std: 1, entropy: 0.05326, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.34, epoch: 0.07937}
{loss: 0.1218, grad_norm: 0.4827, learning_rate: 9.5e-07, num_tokens: 6.12e+04, completions/mean_length: 13.75, completions/min_length: 10, completions/max_length: 48, completions/clipped_ratio: 0.0625, completions/mean_terminated_length: 11.47, completions/min_terminated_length: 10, completions/max_terminated_length: 20, rewards/kernel_reward/mean: 0.09375, rewards/kernel_reward/std: 0.2961, reward: 0.09375, reward_std: 0.2961, frac_reward_zero_std: 0.75, entropy: 0.551, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 25.37, epoch: 0.0873}
{loss: -0.01586, grad_norm: 0.2691, learning_rate: 9.45e-07, num_tokens: 6.672e+04, completions/mean_length: 9.75, completions/min_length: 7, completions/max_length: 14, completions/clipped_ratio: 0, completions/mean_terminated_length: 9.75, completions/min_terminated_length: 7, completions/max_terminated_length: 14, rewards/kernel_reward/mean: 0.4688, rewards/kernel_reward/std: 0.507, reward: 0.4688, reward_std: 0.507, frac_reward_zero_std: 0.75, entropy: 0.06556, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.98, epoch: 0.09524}
{loss: 0, grad_norm: 0, learning_rate: 9.4e-07, num_tokens: 7.219e+04, completions/mean_length: 7.75, completions/min_length: 6, completions/max_length: 9, completions/clipped_ratio: 0, completions/mean_terminated_length: 7.75, completions/min_terminated_length: 6, completions/max_terminated_length: 9, rewards/kernel_reward/mean: 1, rewards/kernel_reward/std: 0, reward: 1, reward_std: 0, frac_reward_zero_std: 1, entropy: 0.009038, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.37, epoch: 0.1032}
{loss: 0, grad_norm: 0.2852, learning_rate: 9.35e-07, num_tokens: 7.77e+04, completions/mean_length: 10, completions/min_length: 8, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 10, completions/min_terminated_length: 8, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.5312, rewards/kernel_reward/std: 0.507, reward: 0.5312, reward_std: 0.507, frac_reward_zero_std: 0.75, entropy: 0.01927, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 17.96, epoch: 0.1111}
{loss: 0.03162, grad_norm: 0.7295, learning_rate: 9.3e-07, num_tokens: 8.318e+04, completions/mean_length: 7.875, completions/min_length: 5, completions/max_length: 13, completions/clipped_ratio: 0, completions/mean_terminated_length: 7.875, completions/min_terminated_length: 5, completions/max_terminated_length: 13, rewards/kernel_reward/mean: 0.5938, rewards/kernel_reward/std: 0.499, reward: 0.5938, reward_std: 0.499, frac_reward_zero_std: 0.75, entropy: 0.1426, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 18.34, epoch: 0.119}
{loss: 0.01748, grad_norm: 0.4729, learning_rate: 9.25e-07, num_tokens: 8.872e+04, completions/mean_length: 8.688, completions/min_length: 5, completions/max_length: 18, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.688, completions/min_terminated_length: 5, completions/max_terminated_length: 18, rewards/kernel_reward/mean: 0.4375, rewards/kernel_reward/std: 0.504, reward: 0.4375, reward_std: 0.504, frac_reward_zero_std: 0.75, entropy: 0.1402, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 19.87, epoch: 0.127}
{loss: 0, grad_norm: 0, learning_rate: 9.2e-07, num_tokens: 9.419e+04, completions/mean_length: 7.75, completions/min_length: 5, completions/max_length: 10, completions/clipped_ratio: 0, completions/mean_terminated_length: 7.75, completions/min_terminated_length: 5, completions/max_terminated_length: 10, rewards/kernel_reward/mean: 1, rewards/kernel_reward/std: 0, reward: 1, reward_std: 0, frac_reward_zero_std: 1, entropy: 0.02731, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 18.09, epoch: 0.1349}
{loss: 0.01914, grad_norm: 0.5907, learning_rate: 9.15e-07, num_tokens: 9.971e+04, completions/mean_length: 8.656, completions/min_length: 5, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 8.656, completions/min_terminated_length: 5, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.75, rewards/kernel_reward/std: 0.4399, reward: 0.75, reward_std: 0.4399, frac_reward_zero_std: 0.5, entropy: 0.06498, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 18.88, epoch: 0.1429}
{loss: -0.007618, grad_norm: 0.3228, learning_rate: 9.1e-07, num_tokens: 1.052e+05, completions/mean_length: 7.25, completions/min_length: 5, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 7.25, completions/min_terminated_length: 5, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.5312, rewards/kernel_reward/std: 0.507, reward: 0.5312, reward_std: 0.507, frac_reward_zero_std: 0.75, entropy: 0.07053, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 18.73, epoch: 0.1508}
{loss: 0.01151, grad_norm: 0.4528, learning_rate: 9.05e-07, num_tokens: 1.106e+05, completions/mean_length: 6.719, completions/min_length: 4, completions/max_length: 8, completions/clipped_ratio: 0, completions/mean_terminated_length: 6.719, completions/min_terminated_length: 4, completions/max_terminated_length: 8, rewards/kernel_reward/mean: 0.2812, rewards/kernel_reward/std: 0.4568, reward: 0.2812, reward_std: 0.4568, frac_reward_zero_std: 0.75, entropy: 0.1179, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 18.47, epoch: 0.1587}
{loss: 0, grad_norm: 0, learning_rate: 9e-07, num_tokens: 1.162e+05, completions/mean_length: 9.25, completions/min_length: 8, completions/max_length: 11, completions/clipped_ratio: 0, completions/mean_terminated_length: 9.25, completions/min_terminated_length: 8, completions/max_terminated_length: 11, rewards/kernel_reward/mean: 0.75, rewards/kernel_reward/std: 0.4399, reward: 0.75, reward_std: 0.4399, frac_reward_zero_std: 1, entropy: 0.02445, clip_ratio/low_mean: 0, clip_ratio/low_min: 0, clip_ratio/high_mean: 0, clip_ratio/high_max: 0, clip_ratio/region_mean: 0, step_time: 19.18, epoch: 0.1667}
